reading_id,sensor_id,timestamp,temperature_c,humidity_pct,battery_pct
60,SENSOR-031,2024-01-01T01:00:00,-0.17,60.32,48.4
61,SENSOR-020,2024-01-01T01:01:00,21.77,79.68,39.8
62,SENSOR-009,2024-01-01T01:02:00,37.02,69.34,74.8
63,SENSOR-029,2024-01-01T01:03:00,33.07,95.43,10.0
64,SENSOR-033,2024-01-01T01:04:00,12.03,40.46,55.1
65,SENSOR-045,2024-01-01T01:05:00,27.65,14.68,38.9
66,SENSOR-041,2024-01-01T01:06:00,-9.71,18.2,14.5
67,SENSOR-039,2024-01-01T01:07:00,13.95,15.77,22.2
68,SENSOR-006,2024-01-01T01:08:00,23.5,75.2,93.1
69,SENSOR-026,2024-01-01T01:09:00,23.77,56.89,71.2
70,SENSOR-039,2024-01-01T01:10:00,-6.84,79.62,17.5
71,SENSOR-032,2024-01-01T01:11:00,14.14,28.15,65.7
72,SENSOR-034,2024-01-01T01:12:00,5.73,13.02,60.0
73,SENSOR-034,2024-01-01T01:13:00,28.41,65.37,67.4
74,SENSOR-024,2024-01-01T01:14:00,3.16,10.03,15.7
75,SENSOR-018,2024-01-01T01:15:00,32.88,41.78,39.5
76,SENSOR-038,2024-01-01T01:16:00,1.02,11.38,70.4
77,SENSOR-006,2024-01-01T01:17:00,20.23,75.35,55.9
78,SENSOR-038,2024-01-01T01:18:00,9.15,96.7,27.7
79,SENSOR-039,2024-01-01T01:19:00,42.97,50.93,40.4
80,SENSOR-001,2024-01-01T01:20:00,4.36,46.64,10.6
81,SENSOR-005,2024-01-01T01:21:00,17.67,40.6,11.7
82,SENSOR-033,2024-01-01T01:22:00,42.62,88.85,81.3
83,SENSOR-037,2024-01-01T01:23:00,3.76,49.85,37.7
84,SENSOR-031,2024-01-01T01:24:00,32.35,78.17,96.1
85,SENSOR-030,2024-01-01T01:25:00,27.49,90.69,86.2
86,SENSOR-031,2024-01-01T01:26:00,-3.61,16.08,63.4
87,SENSOR-015,2024-01-01T01:27:00,27.23,30.69,31.6
88,SENSOR-023,2024-01-01T01:28:00,18.41,10.88,83.2
89,SENSOR-016,2024-01-01T01:29:00,5.8,45.9,74.9
90,SENSOR-022,2024-01-01T01:30:00,-5.82,93.83,47.7
91,SENSOR-023,2024-01-01T01:31:00,2.02,61.63,18.3
92,SENSOR-048,2024-01-01T01:32:00,27.57,91.89,49.9
93,SENSOR-013,2024-01-01T01:33:00,2.92,31.79,26.5
94,SENSOR-015,2024-01-01T01:34:00,1.15,32.47,61.9
95,SENSOR-010,2024-01-01T01:35:00,32.84,20.79,7.8
96,SENSOR-043,2024-01-01T01:36:00,17.1,10.6,85.7
97,SENSOR-003,2024-01-01T01:37:00,36.64,43.41,31.5
98,SENSOR-037,2024-01-01T01:38:00,37.78,54.17,98.4
99,SENSOR-033,2024-01-01T01:39:00,5.41,29.99,57.7
100,SENSOR-004,2024-01-01T01:40:00,18.92,48.09,94.0
101,SENSOR-003,2024-01-01T01:41:00,17.64,45.43,68.6
102,SENSOR-012,2024-01-01T01:42:00,15.15,20.83,51.8
103,SENSOR-021,2024-01-01T01:43:00,27.91,11.06,21.1
104,SENSOR-038,2024-01-01T01:44:00,-4.46,42.54,86.2
105,SENSOR-012,2024-01-01T01:45:00,20.17,31.34,47.1
106,SENSOR-040,2024-01-01T01:46:00,8.87,26.55,42.4
107,SENSOR-027,2024-01-01T01:47:00,28.54,43.51,85.4
108,SENSOR-018,2024-01-01T01:48:00,14.79,61.43,97.9
109,SENSOR-044,2024-01-01T01:49:00,2.57,18.99,27.0
110,SENSOR-016,2024-01-01T01:50:00,20.54,87.07,19.6
111,SENSOR-048,2024-01-01T01:51:00,-1.77,82.51,17.7
112,SENSOR-032,2024-01-01T01:52:00,-2.6,90.39,63.1
113,SENSOR-035,2024-01-01T01:53:00,29.63,80.68,30.0
114,SENSOR-036,2024-01-01T01:54:00,37.22,14.29,9.9
115,SENSOR-011,2024-01-01T01:55:00,-6.7,83.24,47.7
116,SENSOR-041,2024-01-01T01:56:00,-4.7,77.01,26.0
117,SENSOR-024,2024-01-01T01:57:00,20.82,93.87,25.8
118,SENSOR-002,2024-01-01T01:58:00,12.65,41.6,68.0
119,SENSOR-039,2024-01-01T01:59:00,0.94,61.83,64.9
120,SENSOR-012,2024-01-01T02:00:00,43.87,35.61,32.5
121,SENSOR-033,2024-01-01T02:01:00,16.81,76.29,89.0
122,SENSOR-025,2024-01-01T02:02:00,23.75,51.74,95.7
123,SENSOR-011,2024-01-01T02:03:00,25.23,93.57,42.2
124,SENSOR-040,2024-01-01T02:04:00,21.44,86.4,7.1
125,SENSOR-011,2024-01-01T02:05:00,8.9,38.21,65.3
126,SENSOR-046,2024-01-01T02:06:00,4.71,68.02,27.1
127,SENSOR-029,2024-01-01T02:07:00,32.95,94.49,74.8
128,SENSOR-034,2024-01-01T02:08:00,43.1,47.26,18.4
129,SENSOR-002,2024-01-01T02:09:00,-3.12,31.12,25.2
130,SENSOR-048,2024-01-01T02:10:00,28.54,17.21,16.7
131,SENSOR-007,2024-01-01T02:11:00,-4.74,94.31,47.3
132,SENSOR-004,2024-01-01T02:12:00,-8.55,45.73,76.5
133,SENSOR-006,2024-01-01T02:13:00,-4.28,65.63,8.4
134,SENSOR-025,2024-01-01T02:14:00,7.02,32.27,28.4
135,SENSOR-041,2024-01-01T02:15:00,-3.05,57.41,17.1
136,SENSOR-003,2024-01-01T02:16:00,26.5,87.43,32.5
137,SENSOR-031,2024-01-01T02:17:00,15.7,88.38,93.5
138,SENSOR-036,2024-01-01T02:18:00,14.47,97.26,69.8
139,SENSOR-012,2024-01-01T02:19:00,22.5,51.09,74.9
140,SENSOR-037,2024-01-01T02:20:00,13.92,67.58,53.4
141,SENSOR-023,2024-01-01T02:21:00,16.49,30.44,9.0
142,SENSOR-020,2024-01-01T02:22:00,10.12,33.38,30.4
143,SENSOR-001,2024-01-01T02:23:00,18.78,78.25,13.6
144,SENSOR-019,2024-01-01T02:24:00,15.81,10.75,92.2
145,SENSOR-049,2024-01-01T02:25:00,16.24,10.82,43.0
146,SENSOR-019,2024-01-01T02:26:00,22.84,81.71,54.8
147,SENSOR-013,2024-01-01T02:27:00,12.65,60.45,39.5
148,SENSOR-011,2024-01-01T02:28:00,29.32,68.14,82.8
149,SENSOR-015,2024-01-01T02:29:00,4.46,48.0,24.0
150,SENSOR-049,2024-01-01T02:30:00,34.0,65.19,69.4
151,SENSOR-018,2024-01-01T02:31:00,5.66,76.86,80.9
152,SENSOR-027,2024-01-01T02:32:00,0.34,16.16,13.7
153,SENSOR-008,2024-01-01T02:33:00,25.03,65.6,27.2
154,SENSOR-040,2024-01-01T02:34:00,17.06,38.86,15.2
155,SENSOR-035,2024-01-01T02:35:00,-8.78,97.51,28.2
156,SENSOR-009,2024-01-01T02:36:00,29.34,75.44,23.3
157,SENSOR-010,2024-01-01T02:37:00,-9.19,29.55,42.0
158,SENSOR-032,2024-01-01T02:38:00,44.89,51.73,79.1
159,SENSOR-022,2024-01-01T02:39:00,-5.59,77.55,14.6
160,SENSOR-018,2024-01-01T02:40:00,32.66,16.42,47.0
161,SENSOR-013,2024-01-01T02:41:00,39.26,32.51,38.2
162,SENSOR-001,2024-01-01T02:42:00,-3.29,79.13,24.9
163,SENSOR-050,2024-01-01T02:43:00,43.62,32.24,99.5
164,SENSOR-013,2024-01-01T02:44:00,15.35,79.39,52.1
165,SENSOR-014,2024-01-01T02:45:00,16.01,71.33,31.2
166,SENSOR-021,2024-01-01T02:46:00,-1.28,75.54,74.5
167,SENSOR-036,2024-01-01T02:47:00,18.65,32.8,63.9
168,SENSOR-013,2024-01-01T02:48:00,9.82,14.69,66.7
169,SENSOR-008,2024-01-01T02:49:00,2.98,49.07,1.5
170,SENSOR-018,2024-01-01T02:50:00,22.16,45.62,24.3
171,SENSOR-003,2024-01-01T02:51:00,21.96,72.17,68.8
172,SENSOR-010,2024-01-01T02:52:00,10.43,18.05,15.8
173,SENSOR-006,2024-01-01T02:53:00,27.73,40.46,97.0
174,SENSOR-049,2024-01-01T02:54:00,24.38,15.38,64.5
175,SENSOR-045,2024-01-01T02:55:00,19.5,19.67,48.8
176,SENSOR-021,2024-01-01T02:56:00,43.99,80.97,75.7
177,SENSOR-029,2024-01-01T02:57:00,30.33,11.92,37.8
178,SENSOR-047,2024-01-01T02:58:00,-2.59,90.88,48.5
179,SENSOR-029,2024-01-01T02:59:00,20.75,58.85,49.0
180,SENSOR-037,2024-01-01T03:00:00,0.26,41.29,73.2
181,SENSOR-018,2024-01-01T03:01:00,37.72,63.88,86.1
182,SENSOR-011,2024-01-01T03:02:00,-6.21,23.95,29.6
183,SENSOR-017,2024-01-01T03:03:00,19.79,50.87,77.6
184,SENSOR-033,2024-01-01T03:04:00,10.85,26.7,1.9
185,SENSOR-024,2024-01-01T03:05:00,32.68,31.49,72.1
186,SENSOR-043,2024-01-01T03:06:00,43.19,83.71,19.0
187,SENSOR-044,2024-01-01T03:07:00,17.37,59.63,61.3
188,SENSOR-021,2024-01-01T03:08:00,12.54,38.98,9.6
189,SENSOR-043,2024-01-01T03:09:00,-6.33,85.17,13.0
190,SENSOR-003,2024-01-01T03:10:00,1.11,53.68,9.9
191,SENSOR-037,2024-01-01T03:11:00,25.3,44.97,49.0
192,SENSOR-040,2024-01-01T03:12:00,28.57,33.03,36.6
193,SENSOR-039,2024-01-01T03:13:00,29.48,11.18,92.1
194,SENSOR-042,2024-01-01T03:14:00,17.03,90.08,8.0
195,SENSOR-041,2024-01-01T03:15:00,-6.66,60.22,93.8
196,SENSOR-027,2024-01-01T03:16:00,35.21,81.48,5.8
197,SENSOR-040,2024-01-01T03:17:00,4.62,13.66,7.0
198,SENSOR-020,2024-01-01T03:18:00,-5.71,29.43,51.9
199,SENSOR-007,2024-01-01T03:19:00,29.88,57.85,18.9
200,SENSOR-034,2024-01-01T03:20:00,26.13,61.3,94.8
201,SENSOR-036,2024-01-01T03:21:00,31.21,47.37,10.6
202,SENSOR-041,2024-01-01T03:22:00,21.71,70.7,70.3
203,SENSOR-028,2024-01-01T03:23:00,38.56,25.01,18.0
204,SENSOR-026,2024-01-01T03:24:00,17.76,69.18,53.4
205,SENSOR-039,2024-01-01T03:25:00,14.37,41.71,31.5
206,SENSOR-021,2024-01-01T03:26:00,36.47,47.11,63.3
207,SENSOR-047,2024-01-01T03:27:00,7.79,31.67,54.6
208,SENSOR-025,2024-01-01T03:28:00,32.11,93.35,25.4
209,SENSOR-029,2024-01-01T03:29:00,14.61,45.74,72.6
210,SENSOR-019,2024-01-01T03:30:00,22.77,56.58,99.3
211,SENSOR-020,2024-01-01T03:31:00,-9.64,98.6,21.5
212,SENSOR-021,2024-01-01T03:32:00,-8.81,83.97,69.0
213,SENSOR-018,2024-01-01T03:33:00,40.55,56.01,57.1
214,SENSOR-037,2024-01-01T03:34:00,-1.49,13.4,35.6
215,SENSOR-009,2024-01-01T03:35:00,4.57,90.07,25.0
216,SENSOR-017,2024-01-01T03:36:00,34.61,18.27,40.0
217,SENSOR-014,2024-01-01T03:37:00,30.38,75.12,79.3
218,SENSOR-012,2024-01-01T03:38:00,16.86,90.91,70.3
219,SENSOR-007,2024-01-01T03:39:00,22.74,37.04,73.1
220,SENSOR-037,2024-01-01T03:40:00,10.99,80.21,92.2
221,SENSOR-022,2024-01-01T03:41:00,9.14,83.54,41.7
222,SENSOR-008,2024-01-01T03:42:00,37.84,30.4,65.3
223,SENSOR-039,2024-01-01T03:43:00,41.08,67.05,63.2
224,SENSOR-004,2024-01-01T03:44:00,6.76,13.71,54.0
225,SENSOR-010,2024-01-01T03:45:00,7.98,72.8,15.3
226,SENSOR-044,2024-01-01T03:46:00,30.24,45.36,44.6
227,SENSOR-039,2024-01-01T03:47:00,21.64,18.11,43.2
228,SENSOR-026,2024-01-01T03:48:00,-1.86,40.26,47.6
229,SENSOR-048,2024-01-01T03:49:00,-7.29,45.93,8.5
230,SENSOR-033,2024-01-01T03:50:00,13.9,72.81,76.2
231,SENSOR-031,2024-01-01T03:51:00,20.76,53.91,65.2
232,SENSOR-013,2024-01-01T03:52:00,20.86,99.74,52.4
233,SENSOR-016,2024-01-01T03:53:00,-6.06,79.91,32.3
234,SENSOR-037,2024-01-01T03:54:00,-5.07,70.46,42.4
235,SENSOR-023,2024-01-01T03:55:00,0.48,41.01,65.5
236,SENSOR-050,2024-01-01T03:56:00,6.77,98.89,61.6
237,SENSOR-029,2024-01-01T03:57:00,24.28,49.64,92.4
238,SENSOR-015,2024-01-01T03:58:00,0.98,43.64,75.8
239,SENSOR-006,2024-01-01T03:59:00,-3.82,14.91,94.9
240,SENSOR-010,2024-01-01T04:00:00,37.78,83.81,1.4
241,SENSOR-045,2024-01-01T04:01:00,34.24,37.46,47.1
242,SENSOR-022,2024-01-01T04:02:00,1.5,58.42,20.4
243,SENSOR-034,2024-01-01T04:03:00,31.27,59.39,62.3
244,SENSOR-010,2024-01-01T04:04:00,28.23,70.14,37.7
245,SENSOR-043,2024-01-01T04:05:00,18.97,32.99,6.0
246,SENSOR-013,2024-01-01T04:06:00,33.41,65.62,5.3
247,SENSOR-042,2024-01-01T04:07:00,41.98,15.99,66.0
248,SENSOR-043,2024-01-01T04:08:00,36.86,69.41,86.4
249,SENSOR-002,2024-01-01T04:09:00,6.09,89.51,38.7
250,SENSOR-025,2024-01-01T04:10:00,17.97,73.87,90.4
251,SENSOR-032,2024-01-01T04:11:00,37.67,57.84,18.6
252,SENSOR-033,2024-01-01T04:12:00,43.17,60.46,71.2
253,SENSOR-003,2024-01-01T04:13:00,3.61,57.65,33.4
254,SENSOR-026,2024-01-01T04:14:00,30.94,11.65,68.4
255,SENSOR-023,2024-01-01T04:15:00,24.39,31.26,97.8
256,SENSOR-033,2024-01-01T04:16:00,5.17,15.58,25.8
257,SENSOR-025,2024-01-01T04:17:00,38.97,83.34,2.9
258,SENSOR-036,2024-01-01T04:18:00,42.2,30.3,34.2
259,SENSOR-026,2024-01-01T04:19:00,26.13,17.9,38.2
260,SENSOR-044,2024-01-01T04:20:00,23.68,66.3,22.7
261,SENSOR-016,2024-01-01T04:21:00,21.51,48.38,31.2
262,SENSOR-039,2024-01-01T04:22:00,8.11,58.8,20.7
263,SENSOR-009,2024-01-01T04:23:00,21.96,71.56,20.2
264,SENSOR-009,2024-01-01T04:24:00,6.99,73.46,52.4
265,SENSOR-009,2024-01-01T04:25:00,13.65,91.81,77.0
266,SENSOR-042,2024-01-01T04:26:00,41.32,92.54,31.7
267,SENSOR-036,2024-01-01T04:27:00,19.31,74.75,18.4
268,SENSOR-010,2024-01-01T04:28:00,29.99,78.89,88.0
269,SENSOR-027,2024-01-01T04:29:00,42.87,37.3,74.6
270,SENSOR-041,2024-01-01T04:30:00,41.33,34.64,77.9
271,SENSOR-007,2024-01-01T04:31:00,-2.76,12.36,98.6
272,SENSOR-040,2024-01-01T04:32:00,4.68,61.03,23.1
273,SENSOR-015,2024-01-01T04:33:00,2.7,12.35,7.9
274,SENSOR-050,2024-01-01T04:34:00,16.21,55.21,60.5
275,SENSOR-046,2024-01-01T04:35:00,25.73,26.56,38.7
276,SENSOR-031,2024-01-01T04:36:00,-2.44,27.39,3.2
277,SENSOR-049,2024-01-01T04:37:00,43.28,93.29,95.0
278,SENSOR-015,2024-01-01T04:38:00,30.83,98.94,75.8
279,SENSOR-005,2024-01-01T04:39:00,-0.26,95.92,43.9
280,SENSOR-040,2024-01-01T04:40:00,16.95,39.24,45.8
281,SENSOR-016,2024-01-01T04:41:00,13.52,79.86,60.8
282,SENSOR-025,2024-01-01T04:42:00,29.61,45.47,93.9
283,SENSOR-037,2024-01-01T04:43:00,22.66,57.27,87.6
284,SENSOR-003,2024-01-01T04:44:00,18.64,50.64,82.7
285,SENSOR-003,2024-01-01T04:45:00,38.28,32.11,53.8
286,SENSOR-048,2024-01-01T04:46:00,-7.84,44.87,76.5
287,SENSOR-004,2024-01-01T04:47:00,0.44,49.56,88.4
288,SENSOR-050,2024-01-01T04:48:00,35.52,51.52,42.2
289,SENSOR-040,2024-01-01T04:49:00,40.55,72.1,90.4
290,SENSOR-030,2024-01-01T04:50:00,35.64,50.65,72.3
291,SENSOR-008,2024-01-01T04:51:00,-0.11,62.69,89.4
292,SENSOR-035,2024-01-01T04:52:00,-2.56,47.22,45.1
293,SENSOR-012,2024-01-01T04:53:00,14.95,90.7,89.6
294,SENSOR-030,2024-01-01T04:54:00,-5.04,39.17,64.9
295,SENSOR-046,2024-01-01T04:55:00,33.81,74.65,12.4
296,SENSOR-008,2024-01-01T04:56:00,28.84,67.07,8.5
297,SENSOR-046,2024-01-01T04:57:00,11.12,81.2,51.2
298,SENSOR-011,2024-01-01T04:58:00,10.83,44.25,76.8
299,SENSOR-022,2024-01-01T04:59:00,21.1,69.36,15.0
300,SENSOR-010,2024-01-01T05:00:00,-0.16,74.08,42.0
301,SENSOR-020,2024-01-01T05:01:00,30.16,96.49,28.9
302,SENSOR-012,2024-01-01T05:02:00,-3.53,21.84,20.3
303,SENSOR-040,2024-01-01T05:03:00,32.1,11.1,49.8
304,SENSOR-032,2024-01-01T05:04:00,19.89,10.52,88.3
305,SENSOR-016,2024-01-01T05:05:00,1.93,69.35,45.4
306,SENSOR-029,2024-01-01T05:06:00,-5.63,64.01,24.5
307,SENSOR-036,2024-01-01T05:07:00,5.3,66.58,82.0
308,SENSOR-014,2024-01-01T05:08:00,-7.31,23.34,65.3
309,SENSOR-003,2024-01-01T05:09:00,-2.0,12.92,57.8
310,SENSOR-039,2024-01-01T05:10:00,6.41,92.83,4.9
311,SENSOR-027,2024-01-01T05:11:00,44.66,24.52,28.4
312,SENSOR-043,2024-01-01T05:12:00,28.03,63.55,78.7
313,SENSOR-012,2024-01-01T05:13:00,43.15,77.44,36.0
314,SENSOR-003,2024-01-01T05:14:00,-4.88,36.94,36.9
315,SENSOR-025,2024-01-01T05:15:00,35.11,78.26,84.3
316,SENSOR-005,2024-01-01T05:16:00,6.11,22.11,69.5
317,SENSOR-018,2024-01-01T05:17:00,8.11,47.24,21.0
318,SENSOR-014,2024-01-01T05:18:00,23.66,19.84,73.0
319,SENSOR-041,2024-01-01T05:19:00,19.09,17.89,72.4
320,SENSOR-039,2024-01-01T05:20:00,41.36,98.77,28.7
321,SENSOR-039,2024-01-01T05:21:00,36.63,33.37,57.5
322,SENSOR-040,2024-01-01T05:22:00,9.46,21.67,56.3
323,SENSOR-034,2024-01-01T05:23:00,30.11,54.8,80.8
324,SENSOR-040,2024-01-01T05:24:00,2.8,36.14,19.4
325,SENSOR-008,2024-01-01T05:25:00,-8.68,66.29,11.8
326,SENSOR-014,2024-01-01T05:26:00,33.98,99.91,41.4
327,SENSOR-022,2024-01-01T05:27:00,9.23,82.54,21.2
328,SENSOR-041,2024-01-01T05:28:00,1.07,35.35,79.0
329,SENSOR-020,2024-01-01T05:29:00,6.52,59.5,76.7
330,SENSOR-008,2024-01-01T05:30:00,27.72,40.72,72.4
331,SENSOR-040,2024-01-01T05:31:00,42.81,84.88,19.4
332,SENSOR-022,2024-01-01T05:32:00,40.73,53.12,47.5
333,SENSOR-003,2024-01-01T05:33:00,25.51,53.33,62.7
334,SENSOR-035,2024-01-01T05:34:00,39.28,51.62,81.4
335,SENSOR-048,2024-01-01T05:35:00,-6.92,56.9,56.5
336,SENSOR-044,2024-01-01T05:36:00,7.35,58.23,20.8
337,SENSOR-044,2024-01-01T05:37:00,8.24,92.46,79.6
338,SENSOR-005,2024-01-01T05:38:00,43.33,35.24,3.1
339,SENSOR-025,2024-01-01T05:39:00,24.46,85.82,57.1
340,SENSOR-025,2024-01-01T05:40:00,0.31,20.52,78.2
341,SENSOR-020,2024-01-01T05:41:00,28.79,38.3,3.2
342,SENSOR-027,2024-01-01T05:42:00,-5.23,88.93,37.2
343,SENSOR-020,2024-01-01T05:43:00,1.89,37.21,11.2
344,SENSOR-003,2024-01-01T05:44:00,32.78,92.2,44.4
345,SENSOR-002,2024-01-01T05:45:00,33.95,91.45,15.4
346,SENSOR-022,2024-01-01T05:46:00,40.8,75.92,52.4
347,SENSOR-050,2024-01-01T05:47:00,8.0,79.25,9.8
348,SENSOR-034,2024-01-01T05:48:00,27.22,21.94,72.5
349,SENSOR-030,2024-01-01T05:49:00,11.32,87.83,11.6
350,SENSOR-020,2024-01-01T05:50:00,41.28,71.83,59.4
351,SENSOR-006,2024-01-01T05:51:00,8.33,90.03,10.3
352,SENSOR-050,2024-01-01T05:52:00,26.24,38.12,57.8
353,SENSOR-020,2024-01-01T05:53:00,25.14,28.89,20.1
354,SENSOR-019,2024-01-01T05:54:00,5.22,38.72,44.1
355,SENSOR-008,2024-01-01T05:55:00,5.0,24.17,11.4
356,SENSOR-040,2024-01-01T05:56:00,20.78,19.21,54.3
357,SENSOR-036,2024-01-01T05:57:00,7.52,22.74,70.4
358,SENSOR-019,2024-01-01T05:58:00,21.57,25.41,31.1
359,SENSOR-022,2024-01-01T05:59:00,19.73,14.57,2.9
360,SENSOR-044,2024-01-01T06:00:00,-7.22,44.52,8.6
361,SENSOR-026,2024-01-01T06:01:00,-0.16,63.65,59.3
362,SENSOR-045,2024-01-01T06:02:00,28.47,65.47,31.2
363,SENSOR-013,2024-01-01T06:03:00,29.21,70.38,53.3
364,SENSOR-049,2024-01-01T06:04:00,32.04,61.1,9.3
365,SENSOR-045,2024-01-01T06:05:00,15.76,51.0,68.4
366,SENSOR-046,2024-01-01T06:06:00,32.16,52.35,94.7
367,SENSOR-010,2024-01-01T06:07:00,37.36,65.52,91.3
368,SENSOR-026,2024-01-01T06:08:00,0.08,92.55,33.0
369,SENSOR-021,2024-01-01T06:09:00,14.93,12.72,47.5
370,SENSOR-023,2024-01-01T06:10:00,16.33,86.12,28.2
371,SENSOR-023,2024-01-01T06:11:00,23.24,21.47,10.3
372,SENSOR-046,2024-01-01T06:12:00,33.82,39.33,64.9
373,SENSOR-020,2024-01-01T06:13:00,19.3,46.07,41.3
374,SENSOR-040,2024-01-01T06:14:00,3.4,24.31,48.2
375,SENSOR-005,2024-01-01T06:15:00,8.74,83.25,59.1
376,SENSOR-028,2024-01-01T06:16:00,21.2,40.8,69.4
377,SENSOR-012,2024-01-01T06:17:00,26.44,17.01,93.1
378,SENSOR-037,2024-01-01T06:18:00,36.02,20.29,59.6
379,SENSOR-021,2024-01-01T06:19:00,20.53,83.98,17.6
380,SENSOR-026,2024-01-01T06:20:00,-6.17,19.79,81.4
381,SENSOR-050,2024-01-01T06:21:00,35.09,39.47,64.5
382,SENSOR-004,2024-01-01T06:22:00,-5.02,83.53,88.7
383,SENSOR-049,2024-01-01T06:23:00,24.99,10.02,14.7
384,SENSOR-010,2024-01-01T06:24:00,14.91,36.24,61.6
385,SENSOR-029,2024-01-01T06:25:00,0.76,71.34,31.7
386,SENSOR-037,2024-01-01T06:26:00,33.69,71.16,91.9
387,SENSOR-028,2024-01-01T06:27:00,29.48,92.36,99.0
388,SENSOR-038,2024-01-01T06:28:00,-9.55,98.78,40.4
389,SENSOR-009,2024-01-01T06:29:00,36.89,15.62,90.1
390,SENSOR-004,2024-01-01T06:30:00,-9.95,60.4,97.9
391,SENSOR-008,2024-01-01T06:31:00,37.37,87.91,23.5
392,SENSOR-045,2024-01-01T06:32:00,22.46,66.27,71.2
393,SENSOR-026,2024-01-01T06:33:00,10.99,59.06,66.2
394,SENSOR-031,2024-01-01T06:34:00,-2.35,59.99,84.3
395,SENSOR-024,2024-01-01T06:35:00,36.2,23.88,99.7
