transaction_id,timestamp,customer_id,region,channel,amount,status
46,2024-11-19T22:46:00,10046,South,mobile,2018.93,pending
47,2024-12-20T23:47:00,10047,North,online,1647.8,refunded
48,2024-01-21T00:48:00,10048,West,mobile,1168.09,completed
49,2024-02-22T01:49:00,10049,North,online,1007.15,refunded
50,2024-03-23T02:50:00,10050,North,in-store,479.78,failed
51,2024-04-24T03:51:00,10051,South,mobile,459.54,failed
52,2024-05-25T04:52:00,10052,South,online,1108.38,completed
53,2024-06-26T05:53:00,10053,North,online,2422.52,pending
54,2024-07-27T06:54:00,10054,South,mobile,1214.62,pending
55,2024-08-28T07:55:00,10055,West,online,412.43,completed
56,2024-09-01T08:56:00,10056,West,phone,2316.37,failed
57,2024-10-02T09:57:00,10057,East,mobile,1741.78,failed
58,2024-11-03T10:58:00,10058,South,in-store,742.47,completed
59,2024-12-04T11:59:00,10059,Central,online,1870.19,completed
60,2024-01-05T12:00:00,10060,North,mobile,1257.62,pending
61,2024-02-06T13:01:00,10061,North,online,2128.51,completed
62,2024-03-07T14:02:00,10062,Central,online,1688.36,pending
63,2024-04-08T15:03:00,10063,West,online,2354.05,pending
64,2024-05-09T16:04:00,10064,Central,online,1548.83,failed
65,2024-06-10T17:05:00,10065,Central,phone,2336.83,pending
66,2024-07-11T18:06:00,10066,East,in-store,664.77,pending
67,2024-08-12T19:07:00,10067,East,mobile,791.13,completed
68,2024-09-13T20:08:00,10068,North,mobile,1553.28,completed
69,2024-10-14T21:09:00,10069,North,in-store,1265.21,pending
70,2024-11-15T22:10:00,10070,East,online,2198.3,refunded
71,2024-12-16T23:11:00,10071,East,in-store,1096.02,refunded
72,2024-01-17T00:12:00,10072,Central,online,1669.99,refunded
73,2024-02-18T01:13:00,10073,North,in-store,661.9,completed
74,2024-03-19T02:14:00,10074,Central,in-store,681.6,pending
75,2024-04-20T03:15:00,10075,East,in-store,1719.06,refunded
76,2024-05-21T04:16:00,10076,Central,mobile,628.55,completed
77,2024-06-22T05:17:00,10077,North,mobile,2073.54,completed
78,2024-07-23T06:18:00,10078,North,phone,1928.03,refunded
79,2024-08-24T07:19:00,10079,South,mobile,1379.65,failed
80,2024-09-25T08:20:00,10080,Central,online,280.57,pending
81,2024-10-26T09:21:00,10081,Central,online,2086.65,pending
82,2024-11-27T10:22:00,10082,West,in-store,105.53,refunded
83,2024-12-28T11:23:00,10083,North,phone,525.98,pending
84,2024-01-01T12:24:00,10084,North,phone,1950.51,failed
85,2024-02-02T13:25:00,10085,Central,in-store,2314.48,pending
86,2024-03-03T14:26:00,10086,South,in-store,2203.66,completed
87,2024-04-04T15:27:00,10087,South,phone,1956.18,failed
88,2024-05-05T16:28:00,10088,South,phone,398.84,completed
89,2024-06-06T17:29:00,10089,West,online,2146.62,pending
90,2024-07-07T18:30:00,10090,South,mobile,874.8,pending
91,2024-08-08T19:31:00,10091,South,online,1650.42,failed
92,2024-09-09T20:32:00,10092,East,phone,2161.02,refunded
93,2024-10-10T21:33:00,10093,East,mobile,1699.12,refunded
94,2024-11-11T22:34:00,10094,North,online,2192.72,refunded
95,2024-12-12T23:35:00,10095,South,phone,96.6,failed
96,2024-01-13T00:36:00,10096,East,phone,1091.55,completed
97,2024-02-14T01:37:00,10097,West,in-store,637.55,failed
98,2024-03-15T02:38:00,10098,North,in-store,911.19,completed
99,2024-04-16T03:39:00,10099,East,phone,1658.81,completed
100,2024-05-17T04:40:00,10100,East,phone,1667.57,refunded
101,2024-06-18T05:41:00,10101,West,phone,1386.48,pending
102,2024-07-19T06:42:00,10102,West,mobile,1693.62,pending
103,2024-08-20T07:43:00,10103,Central,phone,1015.78,completed
104,2024-09-21T08:44:00,10104,East,phone,526.25,refunded
105,2024-10-22T09:45:00,10105,West,mobile,1105.96,pending
106,2024-11-23T10:46:00,10106,Central,mobile,1984.54,pending
107,2024-12-24T11:47:00,10107,North,phone,1289.11,refunded
108,2024-01-25T12:48:00,10108,North,in-store,1682.32,pending
109,2024-02-26T13:49:00,10109,South,in-store,62.04,pending
110,2024-03-27T14:50:00,10110,West,online,1139.09,pending
111,2024-04-28T15:51:00,10111,West,mobile,999.73,pending
112,2024-05-01T16:52:00,10112,North,online,1946.27,pending
113,2024-06-02T17:53:00,10113,South,mobile,126.5,pending
114,2024-07-03T18:54:00,10114,North,mobile,334.21,failed
115,2024-08-04T19:55:00,10115,Central,phone,2375.15,failed
116,2024-09-05T20:56:00,10116,Central,mobile,2076.59,failed
117,2024-10-06T21:57:00,10117,South,mobile,1125.72,pending
118,2024-11-07T22:58:00,10118,East,mobile,1567.24,refunded
119,2024-12-08T23:59:00,10119,West,online,1784.15,pending
120,2024-01-09T00:00:00,10120,East,phone,799.95,completed
121,2024-02-10T01:01:00,10121,South,in-store,578.92,pending
122,2024-03-11T02:02:00,10122,South,online,1037.75,refunded
123,2024-04-12T03:03:00,10123,Central,mobile,1040.02,pending
124,2024-05-13T04:04:00,10124,West,mobile,2262.19,completed
125,2024-06-14T05:05:00,10125,Central,mobile,1192.97,refunded
126,2024-07-15T06:06:00,10126,East,mobile,2133.77,failed
127,2024-08-16T07:07:00,10127,Central,in-store,1221.09,refunded
128,2024-09-17T08:08:00,10128,West,mobile,73.53,refunded
129,2024-10-18T09:09:00,10129,West,in-store,2101.42,pending
130,2024-11-19T10:10:00,10130,Central,online,2267.42,completed
131,2024-12-20T11:11:00,10131,North,mobile,340.11,failed
132,2024-01-21T12:12:00,10132,South,online,651.13,refunded
133,2024-02-22T13:13:00,10133,South,mobile,817.79,failed
134,2024-03-23T14:14:00,10134,East,mobile,631.43,completed
135,2024-04-24T15:15:00,10135,West,online,1872.81,completed
136,2024-05-25T16:16:00,10136,East,in-store,1625.71,completed
137,2024-06-26T17:17:00,10137,North,in-store,499.2,completed
138,2024-07-27T18:18:00,10138,Central,in-store,597.12,failed
139,2024-08-28T19:19:00,10139,North,in-store,1163.12,refunded
140,2024-09-01T20:20:00,10140,East,in-store,1515.13,completed
141,2024-10-02T21:21:00,10141,South,phone,271.14,completed
142,2024-11-03T22:22:00,10142,East,mobile,992.24,pending
143,2024-12-04T23:23:00,10143,North,in-store,255.65,refunded
144,2024-01-05T00:24:00,10144,Central,online,1990.77,completed
145,2024-02-06T01:25:00,10145,East,mobile,1654.14,completed
146,2024-03-07T02:26:00,10146,Central,phone,32.62,failed
147,2024-04-08T03:27:00,10147,West,online,1084.37,refunded
148,2024-05-09T04:28:00,10148,West,in-store,1089.28,refunded
149,2024-06-10T05:29:00,10149,Central,mobile,1162.72,refunded
150,2024-07-11T06:30:00,10150,East,in-store,2077.0,completed
151,2024-08-12T07:31:00,10151,East,mobile,610.41,failed
152,2024-09-13T08:32:00,10152,Central,mobile,841.66,failed
153,2024-10-14T09:33:00,10153,East,in-store,1219.39,refunded
154,2024-11-15T10:34:00,10154,East,phone,699.87,refunded
155,2024-12-16T11:35:00,10155,Central,online,1292.05,pending
156,2024-01-17T12:36:00,10156,North,in-store,1800.47,failed
157,2024-02-18T13:37:00,10157,Central,in-store,1726.83,failed
158,2024-03-19T14:38:00,10158,West,online,233.54,pending
159,2024-04-20T15:39:00,10159,West,in-store,766.21,refunded
160,2024-05-21T16:40:00,10160,West,phone,1064.33,refunded
161,2024-06-22T17:41:00,10161,East,mobile,678.02,refunded
162,2024-07-23T18:42:00,10162,South,online,1803.49,refunded
163,2024-08-24T19:43:00,10163,North,in-store,479.66,failed
164,2024-09-25T20:44:00,10164,East,phone,2451.3,pending
165,2024-10-26T21:45:00,10165,East,in-store,902.84,refunded
166,2024-11-27T22:46:00,10166,North,in-store,686.5,completed
167,2024-12-28T23:47:00,10167,Central,phone,1743.85,pending
168,2024-01-01T00:48:00,10168,West,online,2181.93,refunded
169,2024-02-02T01:49:00,10169,West,mobile,1101.73,pending
170,2024-03-03T02:50:00,10170,North,phone,2352.72,failed
171,2024-04-04T03:51:00,10171,North,online,1002.37,completed
172,2024-05-05T04:52:00,10172,Central,online,380.17,refunded
173,2024-06-06T05:53:00,10173,North,in-store,297.01,failed
174,2024-07-07T06:54:00,10174,Central,in-store,1939.46,failed
175,2024-08-08T07:55:00,10175,West,mobile,744.09,failed
176,2024-09-09T08:56:00,10176,East,online,1524.47,completed
177,2024-10-10T09:57:00,10177,South,in-store,662.35,completed
178,2024-11-11T10:58:00,10178,South,in-store,435.36,completed
179,2024-12-12T11:59:00,10179,South,online,1021.89,failed
180,2024-01-13T12:00:00,10180,East,online,579.46,refunded
181,2024-02-14T13:01:00,10181,West,online,1718.77,refunded
182,2024-03-15T14:02:00,10182,Central,in-store,1063.42,pending
183,2024-04-16T15:03:00,10183,South,phone,2066.75,completed
184,2024-05-17T16:04:00,10184,North,in-store,1981.78,refunded
185,2024-06-18T17:05:00,10185,West,online,1172.28,refunded
186,2024-07-19T18:06:00,10186,West,phone,1251.68,failed
187,2024-08-20T19:07:00,10187,West,online,1495.49,failed
188,2024-09-21T20:08:00,10188,East,phone,65.64,pending
189,2024-10-22T21:09:00,10189,Central,online,2498.93,refunded
190,2024-11-23T22:10:00,10190,Central,online,1908.01,pending
191,2024-12-24T23:11:00,10191,West,mobile,2290.27,pending
192,2024-01-25T00:12:00,10192,Central,mobile,1587.33,failed
193,2024-02-26T01:13:00,10193,North,mobile,870.55,refunded
194,2024-03-27T02:14:00,10194,East,online,2144.48,refunded
195,2024-04-28T03:15:00,10195,West,mobile,721.26,failed
196,2024-05-01T04:16:00,10196,Central,online,1137.61,refunded
197,2024-06-02T05:17:00,10197,East,phone,290.69,failed
198,2024-07-03T06:18:00,10198,Central,online,1644.49,failed
199,2024-08-04T07:19:00,10199,West,online,469.77,refunded
200,2024-09-05T08:20:00,10200,Central,mobile,1563.9,completed
201,2024-10-06T09:21:00,10201,South,phone,1373.5,refunded
202,2024-11-07T10:22:00,10202,West,mobile,304.44,pending
203,2024-12-08T11:23:00,10203,South,phone,1377.55,failed
204,2024-01-09T12:24:00,10204,North,in-store,2480.65,completed
205,2024-02-10T13:25:00,10205,West,online,1619.63,pending
206,2024-03-11T14:26:00,10206,West,phone,1272.67,refunded
207,2024-04-12T15:27:00,10207,West,mobile,2450.63,pending
208,2024-05-13T16:28:00,10208,West,in-store,959.58,pending
209,2024-06-14T17:29:00,10209,North,phone,1931.92,failed
210,2024-07-15T18:30:00,10210,East,phone,2051.55,refunded
211,2024-08-16T19:31:00,10211,East,mobile,2163.29,failed
212,2024-09-17T20:32:00,10212,Central,mobile,863.46,failed
213,2024-10-18T21:33:00,10213,West,phone,2174.13,pending
214,2024-11-19T22:34:00,10214,Central,mobile,584.67,failed
215,2024-12-20T23:35:00,10215,North,phone,1862.02,failed
216,2024-01-21T00:36:00,10216,West,in-store,1238.83,completed
217,2024-02-22T01:37:00,10217,South,phone,2174.38,failed
218,2024-03-23T02:38:00,10218,North,mobile,39.35,pending
219,2024-04-24T03:39:00,10219,West,in-store,188.0,refunded
220,2024-05-25T04:40:00,10220,East,mobile,1624.94,refunded
221,2024-06-26T05:41:00,10221,Central,mobile,2385.39,failed
222,2024-07-27T06:42:00,10222,Central,online,1544.03,pending
223,2024-08-28T07:43:00,10223,East,in-store,1867.17,failed
224,2024-09-01T08:44:00,10224,North,online,1109.75,refunded
225,2024-10-02T09:45:00,10225,North,online,811.61,completed
226,2024-11-03T10:46:00,10226,East,phone,937.73,pending
227,2024-12-04T11:47:00,10227,South,mobile,1415.25,pending
228,2024-01-05T12:48:00,10228,South,in-store,198.34,failed
229,2024-02-06T13:49:00,10229,Central,in-store,1244.67,pending
230,2024-03-07T14:50:00,10230,South,mobile,1595.12,failed
231,2024-04-08T15:51:00,10231,East,online,2247.37,failed
232,2024-05-09T16:52:00,10232,East,in-store,185.58,refunded
233,2024-06-10T17:53:00,10233,Central,phone,1597.71,failed
234,2024-07-11T18:54:00,10234,East,mobile,2113.41,pending
235,2024-08-12T19:55:00,10235,West,mobile,267.53,failed
236,2024-09-13T20:56:00,10236,Central,phone,1437.46,refunded
237,2024-10-14T21:57:00,10237,North,mobile,686.93,completed
238,2024-11-15T22:58:00,10238,Central,mobile,2082.26,refunded
239,2024-12-16T23:59:00,10239,South,phone,548.29,pending
240,2024-01-17T00:00:00,10240,Central,phone,1694.73,pending
241,2024-02-18T01:01:00,10241,North,online,773.02,failed
242,2024-03-19T02:02:00,10242,North,phone,1831.17,completed
243,2024-04-20T03:03:00,10243,East,phone,1868.95,pending
244,2024-05-21T04:04:00,10244,South,in-store,1966.5,refunded
245,2024-06-22T05:05:00,10245,Central,phone,2076.35,refunded
246,2024-07-23T06:06:00,10246,West,phone,1866.65,refunded
247,2024-08-24T07:07:00,10247,North,mobile,2407.27,pending
248,2024-09-25T08:08:00,10248,South,mobile,2418.21,refunded
249,2024-10-26T09:09:00,10249,North,mobile,35.78,completed
250,2024-11-27T10:10:00,10250,West,phone,1682.4,refunded
251,2024-12-28T11:11:00,10251,Central,mobile,2056.22,refunded
252,2024-01-01T12:12:00,10252,North,in-store,1179.22,refunded
253,2024-02-02T13:13:00,10253,Central,in-store,1619.48,failed
254,2024-03-03T14:14:00,10254,East,mobile,292.57,completed
255,2024-04-04T15:15:00,10255,North,phone,2489.82,completed
256,2024-05-05T16:16:00,10256,North,in-store,2218.26,pending
257,2024-06-06T17:17:00,10257,West,mobile,928.16,failed
258,2024-07-07T18:18:00,10258,Central,in-store,2213.65,completed
259,2024-08-08T19:19:00,10259,West,mobile,2347.69,refunded
260,2024-09-09T20:20:00,10260,North,phone,543.96,failed
261,2024-10-10T21:21:00,10261,South,phone,249.29,refunded
262,2024-11-11T22:22:00,10262,Central,phone,152.31,refunded
263,2024-12-12T23:23:00,10263,South,online,2372.58,failed
264,2024-01-13T00:24:00,10264,North,in-store,1604.62,completed
265,2024-02-14T01:25:00,10265,North,phone,609.68,pending
266,2024-03-15T02:26:00,10266,Central,in-store,172.46,pending
267,2024-04-16T03:27:00,10267,Central,in-store,2032.82,pending
268,2024-05-17T04:28:00,10268,East,in-store,1971.82,completed
269,2024-06-18T05:29:00,10269,East,in-store,2468.83,refunded
270,2024-07-19T06:30:00,10270,South,online,1652.98,completed
271,2024-08-20T07:31:00,10271,South,online,896.25,pending
272,2024-09-21T08:32:00,10272,Central,phone,40.44,refunded
273,2024-10-22T09:33:00,10273,North,in-store,1854.55,completed
274,2024-11-23T10:34:00,10274,North,mobile,1121.24,refunded
275,2024-12-24T11:35:00,10275,Central,online,1130.56,pending
276,2024-01-25T12:36:00,10276,Central,online,1818.38,refunded
277,2024-02-26T13:37:00,10277,West,online,153.0,failed
278,2024-03-27T14:38:00,10278,West,mobile,1715.56,failed
279,2024-04-28T15:39:00,10279,West,online,2248.27,refunded
280,2024-05-01T16:40:00,10280,Central,in-store,165.14,refunded
281,2024-06-02T17:41:00,10281,Central,phone,952.88,refunded
282,2024-07-03T18:42:00,10282,West,mobile,248.85,completed
283,2024-08-04T19:43:00,10283,Central,in-store,1075.74,pending
284,2024-09-05T20:44:00,10284,West,phone,2068.72,failed
285,2024-10-06T21:45:00,10285,West,online,782.06,refunded
286,2024-11-07T22:46:00,10286,East,phone,2384.03,failed
287,2024-12-08T23:47:00,10287,North,online,2079.6,completed
288,2024-01-09T00:48:00,10288,West,online,1861.73,refunded
289,2024-02-10T01:49:00,10289,South,online,1466.58,refunded
290,2024-03-11T02:50:00,10290,North,mobile,884.64,failed
291,2024-04-12T03:51:00,10291,North,phone,1501.42,refunded
292,2024-05-13T04:52:00,10292,North,in-store,387.67,failed
293,2024-06-14T05:53:00,10293,South,online,875.93,refunded
294,2024-07-15T06:54:00,10294,North,phone,1435.68,failed
295,2024-08-16T07:55:00,10295,Central,online,1522.88,refunded
296,2024-09-17T08:56:00,10296,North,in-store,683.9,refunded
297,2024-10-18T09:57:00,10297,East,phone,16.26,pending
298,2024-11-19T10:58:00,10298,Central,mobile,174.89,completed
299,2024-12-20T11:59:00,10299,North,in-store,941.11,failed
300,2024-01-21T12:00:00,10300,East,in-store,925.76,refunded
301,2024-02-22T13:01:00,10301,Central,online,2208.47,pending
302,2024-03-23T14:02:00,10302,South,online,1685.25,refunded
303,2024-04-24T15:03:00,10303,West,mobile,1214.67,failed
304,2024-05-25T16:04:00,10304,West,phone,539.71,completed
305,2024-06-26T17:05:00,10305,East,mobile,278.11,failed
306,2024-07-27T18:06:00,10306,Central,phone,114.5,failed
307,2024-08-28T19:07:00,10307,Central,online,20.21,refunded
308,2024-09-01T20:08:00,10308,South,in-store,1910.64,refunded
309,2024-10-02T21:09:00,10309,East,online,20.32,failed
310,2024-11-03T22:10:00,10310,South,in-store,951.14,pending
311,2024-12-04T23:11:00,10311,Central,phone,181.12,completed
312,2024-01-05T00:12:00,10312,West,online,1149.93,completed
313,2024-02-06T01:13:00,10313,East,mobile,1433.93,failed
314,2024-03-07T02:14:00,10314,East,online,1013.18,refunded
315,2024-04-08T03:15:00,10315,South,mobile,2080.23,refunded
316,2024-05-09T04:16:00,10316,North,mobile,2111.37,pending
317,2024-06-10T05:17:00,10317,West,mobile,1310.38,failed
318,2024-07-11T06:18:00,10318,East,phone,554.71,pending
319,2024-08-12T07:19:00,10319,North,online,1326.98,pending
320,2024-09-13T08:20:00,10320,East,phone,1818.72,pending
321,2024-10-14T09:21:00,10321,South,online,366.96,pending
322,2024-11-15T10:22:00,10322,South,in-store,1900.78,completed
323,2024-12-16T11:23:00,10323,South,mobile,1160.42,failed
324,2024-01-17T12:24:00,10324,Central,phone,2160.75,refunded
325,2024-02-18T13:25:00,10325,South,mobile,171.65,failed
326,2024-03-19T14:26:00,10326,East,phone,1478.96,refunded
327,2024-04-20T15:27:00,10327,Central,online,776.71,failed
328,2024-05-21T16:28:00,10328,North,online,922.48,refunded
329,2024-06-22T17:29:00,10329,North,online,1537.91,failed
330,2024-07-23T18:30:00,10330,West,online,1124.88,pending
331,2024-08-24T19:31:00,10331,East,mobile,1253.92,completed
332,2024-09-25T20:32:00,10332,West,online,2027.61,refunded
333,2024-10-26T21:33:00,10333,North,in-store,98.82,failed
334,2024-11-27T22:34:00,10334,West,in-store,910.38,refunded
335,2024-12-28T23:35:00,10335,West,mobile,1936.39,completed
336,2024-01-01T00:36:00,10336,East,online,824.9,failed
337,2024-02-02T01:37:00,10337,East,phone,1809.61,pending
338,2024-03-03T02:38:00,10338,East,online,1457.27,pending
339,2024-04-04T03:39:00,10339,East,phone,2419.27,failed
340,2024-05-05T04:40:00,10340,South,online,774.65,failed
341,2024-06-06T05:41:00,10341,East,in-store,1675.62,completed
342,2024-07-07T06:42:00,10342,West,phone,46.56,refunded
343,2024-08-08T07:43:00,10343,South,in-store,854.99,failed
344,2024-09-09T08:44:00,10344,South,in-store,2499.94,pending
345,2024-10-10T09:45:00,10345,North,phone,2111.23,completed
346,2024-11-11T10:46:00,10346,Central,online,1655.16,pending
347,2024-12-12T11:47:00,10347,Central,mobile,386.48,pending
348,2024-01-13T12:48:00,10348,Central,in-store,1803.24,completed
349,2024-02-14T13:49:00,10349,West,phone,1691.23,pending
350,2024-03-15T14:50:00,10350,West,phone,1881.23,failed
351,2024-04-16T15:51:00,10351,South,in-store,774.36,failed
352,2024-05-17T16:52:00,10352,South,phone,1696.09,failed
353,2024-06-18T17:53:00,10353,West,phone,1945.53,failed
354,2024-07-19T18:54:00,10354,South,in-store,2003.35,pending
355,2024-08-20T19:55:00,10355,East,online,1603.31,refunded
356,2024-09-21T20:56:00,10356,Central,online,1778.79,completed
357,2024-10-22T21:57:00,10357,East,online,1908.03,refunded
358,2024-11-23T22:58:00,10358,West,in-store,2077.79,completed
359,2024-12-24T23:59:00,10359,South,mobile,2211.69,completed
360,2024-01-25T00:00:00,10360,West,online,991.74,refunded
361,2024-02-26T01:01:00,10361,South,mobile,2486.32,refunded
362,2024-03-27T02:02:00,10362,South,online,797.39,completed
363,2024-04-28T03:03:00,10363,East,in-store,344.86,refunded
364,2024-05-01T04:04:00,10364,West,in-store,1897.34,failed
365,2024-06-02T05:05:00,10365,West,online,2264.74,completed
366,2024-07-03T06:06:00,10366,East,in-store,2087.57,failed
367,2024-08-04T07:07:00,10367,North,phone,594.86,completed
368,2024-09-05T08:08:00,10368,North,in-store,1050.14,failed
369,2024-10-06T09:09:00,10369,North,online,2091.88,failed
370,2024-11-07T10:10:00,10370,Central,online,1580.26,pending
371,2024-12-08T11:11:00,10371,South,phone,1073.67,refunded
372,2024-01-09T12:12:00,10372,South,mobile,469.1,completed
373,2024-02-10T13:13:00,10373,Central,phone,170.13,completed
374,2024-03-11T14:14:00,10374,West,mobile,109.79,failed
375,2024-04-12T15:15:00,10375,East,phone,1868.54,refunded
376,2024-05-13T16:16:00,10376,North,phone,603.57,completed
377,2024-06-14T17:17:00,10377,Central,phone,334.39,refunded
378,2024-07-15T18:18:00,10378,Central,phone,2033.96,pending
379,2024-08-16T19:19:00,10379,West,mobile,1579.71,pending
380,2024-09-17T20:20:00,10380,North,mobile,93.42,pending
381,2024-10-18T21:21:00,10381,North,in-store,2214.59,refunded
382,2024-11-19T22:22:00,10382,East,mobile,2472.82,failed
383,2024-12-20T23:23:00,10383,East,online,1883.47,pending
384,2024-01-21T00:24:00,10384,East,phone,2155.48,completed
385,2024-02-22T01:25:00,10385,East,phone,312.06,refunded
386,2024-03-23T02:26:00,10386,West,mobile,1858.53,failed
387,2024-04-24T03:27:00,10387,East,in-store,1241.01,failed
388,2024-05-25T04:28:00,10388,East,phone,2003.07,failed
389,2024-06-26T05:29:00,10389,North,mobile,1506.53,pending
390,2024-07-27T06:30:00,10390,Central,phone,803.71,completed
391,2024-08-28T07:31:00,10391,East,phone,766.93,failed
392,2024-09-01T08:32:00,10392,South,mobile,879.52,completed
393,2024-10-02T09:33:00,10393,East,mobile,687.11,completed
394,2024-11-03T10:34:00,10394,North,mobile,908.91,pending
395,2024-12-04T11:35:00,10395,North,in-store,2121.82,failed
396,2024-01-05T12:36:00,10396,North,in-store,169.02,refunded
397,2024-02-06T13:37:00,10397,East,mobile,2373.72,completed
398,2024-03-07T14:38:00,10398,Central,in-store,1697.98,refunded
399,2024-04-08T15:39:00,10399,East,mobile,1907.95,pending
400,2024-05-09T16:40:00,10400,Central,phone,995.69,refunded
401,2024-06-10T17:41:00,10401,South,online,65.76,pending
402,2024-07-11T18:42:00,10402,West,mobile,2283.94,completed
403,2024-08-12T19:43:00,10403,East,phone,1760.39,pending
404,2024-09-13T20:44:00,10404,Central,phone,1735.26,failed
405,2024-10-14T21:45:00,10405,South,online,340.19,completed
406,2024-11-15T22:46:00,10406,West,in-store,2246.8,failed
407,2024-12-16T23:47:00,10407,North,phone,1669.93,completed
408,2024-01-17T00:48:00,10408,Central,phone,2228.44,pending
409,2024-02-18T01:49:00,10409,South,phone,1272.38,completed
410,2024-03-19T02:50:00,10410,South,in-store,592.6,failed
411,2024-04-20T03:51:00,10411,North,phone,1385.5,refunded
412,2024-05-21T04:52:00,10412,West,in-store,1530.26,completed
413,2024-06-22T05:53:00,10413,North,phone,996.0,failed
414,2024-07-23T06:54:00,10414,Central,mobile,1923.14,completed
415,2024-08-24T07:55:00,10415,South,phone,1606.2,failed
416,2024-09-25T08:56:00,10416,West,phone,321.71,pending
417,2024-10-26T09:57:00,10417,South,mobile,1257.66,completed
418,2024-11-27T10:58:00,10418,North,in-store,761.01,pending
419,2024-12-28T11:59:00,10419,East,in-store,865.71,refunded
420,2024-01-01T12:00:00,10420,North,phone,491.56,refunded
421,2024-02-02T13:01:00,10421,South,phone,1536.46,completed
422,2024-03-03T14:02:00,10422,Central,in-store,1479.93,pending
423,2024-04-04T15:03:00,10423,South,phone,2106.48,completed
424,2024-05-05T16:04:00,10424,North,online,114.61,refunded
425,2024-06-06T17:05:00,10425,South,mobile,1545.65,completed
426,2024-07-07T18:06:00,10426,West,phone,1605.13,refunded
427,2024-08-08T19:07:00,10427,West,in-store,2011.92,failed
428,2024-09-09T20:08:00,10428,East,mobile,183.36,completed
429,2024-10-10T21:09:00,10429,South,mobile,1039.64,failed
430,2024-11-11T22:10:00,10430,South,phone,1517.04,refunded
431,2024-12-12T23:11:00,10431,East,phone,2438.46,pending
432,2024-01-13T00:12:00,10432,East,online,798.47,failed
433,2024-02-14T01:13:00,10433,North,phone,1124.54,pending
434,2024-03-15T02:14:00,10434,North,online,726.24,failed
435,2024-04-16T03:15:00,10435,Central,mobile,621.43,pending
436,2024-05-17T04:16:00,10436,East,phone,475.4,pending
437,2024-06-18T05:17:00,10437,West,mobile,1247.4,refunded
438,2024-07-19T06:18:00,10438,West,online,226.03,failed
439,2024-08-20T07:19:00,10439,Central,mobile,2416.75,pending
440,2024-09-21T08:20:00,10440,Central,phone,122.6,refunded
441,2024-10-22T09:21:00,10441,West,mobile,715.09,completed
442,2024-11-23T10:22:00,10442,North,mobile,335.7,refunded
443,2024-12-24T11:23:00,10443,East,mobile,915.48,failed
444,2024-01-25T12:24:00,10444,North,in-store,906.95,refunded
